date,twoPM,fourPM,ninePM
"'Jan 01, 2009'",'N/D','N/D','N/D'
"'Jan 02, 2009'",'999','144','328'
"'Jan 03, 2009'",'288','166','727'
"'Jan 04, 2009'",'257','610','311'
"'Jan 05, 2009'",'124','789','850'
"'Jan 06, 2009'",'309','499','934'
"'Jan 07, 2009'",'187','252','914'
"'Jan 08, 2009'",'945','538','373'
"'Jan 09, 2009'",'357','552','793'
"'Jan 10, 2009'",'408','396','329'
"'Jan 11, 2009'",'625','220','363'
"'Jan 12, 2009'",'503','859','481'
"'Jan 13, 2009'",'826','520','326'
"'Jan 14, 2009'",'880','508','851'
"'Jan 15, 2009'",'370','913','014'
"'Jan 16, 2009'",'172','560','625'
"'Jan 17, 2009'",'333','679','263'
"'Jan 18, 2009'",'004','742','075'
"'Jan 19, 2009'",'412','398','277'
"'Jan 20, 2009'",'930','981','417'
"'Jan 21, 2009'",'440','018','839'
"'Jan 22, 2009'",'162','395','944'
"'Jan 23, 2009'",'981','937','273'
"'Jan 24, 2009'",'355','916','088'
"'Jan 25, 2009'",'243','450','661'
"'Jan 26, 2009'",'136','554','397'
"'Jan 27, 2009'",'489','417','727'
"'Jan 28, 2009'",'317','400','657'
"'Jan 29, 2009'",'793','369','732'
"'Jan 30, 2009'",'321','107','684'
"'Jan 31, 2009'",'604','511','639'
"'Feb 01, 2009'",'351','775','846'
"'Feb 02, 2009'",'431','255','499'
"'Feb 03, 2009'",'714','227','204'
"'Feb 04, 2009'",'950','830','758'
"'Feb 05, 2009'",'917','247','196'
"'Feb 06, 2009'",'255','930','570'
"'Feb 07, 2009'",'645','383','941'
"'Feb 08, 2009'",'264','562','478'
"'Feb 09, 2009'",'281','972','010'
"'Feb 10, 2009'",'800','007','800'
"'Feb 11, 2009'",'244','834','765'
"'Feb 12, 2009'",'908','848','061'
"'Feb 13, 2009'",'630','399','124'
"'Feb 14, 2009'",'819','594','769'
"'Feb 15, 2009'",'647','131','764'
"'Feb 16, 2009'",'942','121','759'
"'Feb 17, 2009'",'103','970','376'
"'Feb 18, 2009'",'954','706','906'
"'Feb 19, 2009'",'056','093','958'
"'Feb 20, 2009'",'523','962','739'
"'Feb 21, 2009'",'678','853','564'
"'Feb 22, 2009'",'808','136','348'
"'Feb 23, 2009'",'166','835','939'
"'Feb 24, 2009'",'717','759','713'
"'Feb 25, 2009'",'543','919','240'
"'Feb 26, 2009'",'284','431','912'
"'Feb 27, 2009'",'623','810','108'
"'Feb 28, 2009'",'642','686','421'
"'Mar 01, 2009'",'324','313','141'
"'Mar 02, 2009'",'378','315','901'
"'Mar 03, 2009'",'306','724','658'
"'Mar 04, 2009'",'985','280','600'
"'Mar 05, 2009'",'880','381','784'
"'Mar 06, 2009'",'929','444','469'
"'Mar 07, 2009'",'429','785','644'
"'Mar 08, 2009'",'377','280','687'
"'Mar 09, 2009'",'114','404','710'
"'Mar 10, 2009'",'740','645','006'
"'Mar 11, 2009'",'507','675','263'
"'Mar 12, 2009'",'328','091','384'
"'Mar 13, 2009'",'208','718','781'
"'Mar 14, 2009'",'448','973','722'
"'Mar 15, 2009'",'751','568','540'
"'Mar 16, 2009'",'955','404','688'
"'Mar 17, 2009'",'524','554','790'
"'Mar 18, 2009'",'915','197','565'
"'Mar 19, 2009'",'823','640','390'
"'Mar 20, 2009'",'423','718','889'
"'Mar 21, 2009'",'187','434','782'
"'Mar 22, 2009'",'840','096','109'
"'Mar 23, 2009'",'388','002','181'
"'Mar 24, 2009'",'868','524','104'
"'Mar 25, 2009'",'642','489','825'
"'Mar 26, 2009'",'733','080','511'
"'Mar 27, 2009'",'976','387','309'
"'Mar 28, 2009'",'392','875','053'
"'Mar 29, 2009'",'471','282','892'
"'Mar 30, 2009'",'000','293','445'
"'Mar 31, 2009'",'689','090','520'
"'Apr 01, 2009'",'611','051','018'
"'Apr 02, 2009'",'148','882','388'
"'Apr 03, 2009'",'766','510','597'
"'Apr 04, 2009'",'916','953','381'
"'Apr 05, 2009'",'068','744','331'
"'Apr 06, 2009'",'162','212','053'
"'Apr 07, 2009'",'401','810','995'
"'Apr 08, 2009'",'657','225','307'
"'Apr 09, 2009'",'N/D','N/D','N/D'
"'Apr 10, 2009'",'N/D','N/D','N/D'
"'Apr 11, 2009'",'N/D','N/D','N/D'
"'Apr 12, 2009'",'N/D','N/D','N/D'
"'Apr 13, 2009'",'092','526','578'
"'Apr 14, 2009'",'549','033','757'
"'Apr 15, 2009'",'731','546','387'
"'Apr 16, 2009'",'948','686','876'
"'Apr 17, 2009'",'074','163','651'
"'Apr 18, 2009'",'427','848','712'
"'Apr 19, 2009'",'705','439','208'
"'Apr 20, 2009'",'638','405','506'
"'Apr 21, 2009'",'087','267','720'
"'Apr 22, 2009'",'442','285','610'
"'Apr 23, 2009'",'162','879','923'
"'Apr 24, 2009'",'897','073','064'
"'Apr 25, 2009'",'098','157','533'
"'Apr 26, 2009'",'686','449','755'
"'Apr 27, 2009'",'477','381','601'
"'Apr 28, 2009'",'772','389','927'
"'Apr 29, 2009'",'967','562','876'
"'Apr 30, 2009'",'245','693','881'
"'May 01, 2009'",'961','077','121'
"'May 02, 2009'",'493','262','929'
"'May 03, 2009'",'028','627','000'
"'May 04, 2009'",'807','799','349'
"'May 05, 2009'",'850','673','655'
"'May 06, 2009'",'099','509','394'
